高清频道,#genre#
九屏频道,rtsp://139.214.135.10/PLTV/88888888/224/3221226197/10000100000000060000000015634736_0.smil
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-1综合高清,http://scgctvshow.sctv.com/scgc/cctv1/index.m3u8
CCTV-1综合高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225620/10000100000000060000000014261464_0.smil
CCTV-2财经高清,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226655/40417429.smil
CCTV-2财经高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225799/10000100000000060000000014274939_0.smil
CCTV-3综艺高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226127/10000100000000060000000015558809_0.smil
CCTV-4国际高清,rtsp://183.252.166.199/PLTV/88888888/224/3221226633/40417241.smil
CCTV-4欧洲高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226231/10000100000000060000000016336628_0.smil
CCTV-4美洲高清,rtsp://139.214.135.10/PLTV/88888888/224/3221225894/10000100000000060000000016336632_0.smil
CCTV-5体育高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226129/10000100000000060000000015558810_0.smil
CCTV-5+体育赛事,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225720/10000100000000060000000014868371_0.smil
CCTV-6电影高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226131/10000100000000060000000015558811_0.smil
CCTV-7军事高清,rtsp://183.252.166.199/PLTV/88888888/224/3221226645/40426612.smil
CCTV-8电视剧高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226133/10000100000000060000000015558812_0.smil
CCTV-9纪录高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225803/10000100000000060000000014274943_0.smil
CCTV-10科教高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225805/10000100000000060000000014274956_0.smil
CCTV-11戏曲高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil
CCTV-11戏曲高清,rtsp://183.252.176.54/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil
CCTV-12法治高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225807/10000100000000060000000014274957_0.smil
CCTV-13新闻高清,http://scgctvshow.sctv.com/scgc/cctv13/index.m3u8
CCTV-13新闻高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil
CCTV-13新闻高清,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil
CCTV-14少儿高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225809/10000100000000060000000014274958_0.smil
CCTV-15音乐高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil
CCTV-15音乐高清,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil
CCTV-16奥运频道,http://39.135.32.28:6610/PLTV/77777777/224/3221225897/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-16 4K奥运频道,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-16奥运频道,rtsp://139.214.135.10/PLTV/88888888/224/3221226241/10000100000000060000000016498536_0.smil
CCTV-16 4K奥运频道,rtsp://139.214.135.10/PLTV/88888888/224/3221225902/10000100000000060000000016498622_0.smil
CCTV-17农业高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225801/10000100000000060000000014274940_0.smil
CGTN高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226233/10000100000000060000000016336637_0.smil
CGTN纪录（英）高清,rtsp://139.214.135.10/PLTV/88888888/224/3221225896/10000100000000060000000016336641_0.smil
CGTN西班牙语高清,rtsp://139.214.135.10/PLTV/88888888/224/3221225898/10000100000000060000000016336645_0.smil
CGTN法语高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226235/10000100000000060000000016336646_0.smil
CGTN阿拉伯语高清,rtsp://139.214.135.10/PLTV/88888888/224/3221225900/10000100000000060000000016336654_0.smil
CGTN俄罗斯语高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226237/10000100000000060000000016336658_0.smil
CETV-1高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225995/10000100000000060000000015014636_0.smil
吉林卫视高清,rtsp://183.252.166.199/PLTV/88888888/224/3221226792/48616745.smil
吉林卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225835/10000100000000060000000014698360_0.smil
吉视都市高清,rtsp://139.214.135.10/PLTV/88888888/224/3221225795/10000100000000060000000014254371_0.smil
吉视影视高清,rtsp://139.214.135.10/PLTV/88888888/224/3221225852/10000100000000060000000015242246_0.smil
吉视生活高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226013/10000100000000060000000015242249_0.smil
吉视乡村高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226015/10000100000000060000000015242250_0.smil
吉视公共高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226027/10000100000000060000000015242270_0.smil
吉视7频道高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226029/10000100000000060000000015242271_0.smil
长影频道,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225848/10000100000000060000000015213098_0.smil
中国交通(吉林),rtsp://139.214.135.10/PLTV/88888888/224/3221226195/10000100000000060000000015634735_0.smil
篮球频道高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226031/10000100000000060000000015242272_0.smil
东北戏曲高清,rtsp://139.214.135.10/PLTV/88888888/224/3221226033/10000100000000060000000015242273_0.smil
中国气象,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226073/10000100000000060000000002296914_0.smil
东方卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil
浙江卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226040/10000100000000060000000002296881_0.smil
江苏卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil
湖南卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil
北京卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil
广东卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226089/10000100000000060000000002296927_0.smil
黑龙江卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226087/10000100000000060000000002296926_0.smil
云南卫视高清,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226108/10000100000000060000000002310150_0.smil
贵州卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil
湖北卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226091/10000100000000060000000002296929_0.smil
山东卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226090/10000100000000060000000002296928_0.smil
